iter	Passed	Remaining
0	61	18269
1	62	9341
2	64	6371
3	66	4933
4	68	4028
5	69	3423
6	71	2985
7	72	2660
8	75	2425
9	76	2219
10	78	2049
11	79	1907
12	81	1792
13	83	1704
14	85	1615
15	86	1533
16	87	1460
17	89	1396
18	90	1342
19	92	1289
20	93	1241
21	94	1198
22	96	1160
23	98	1136
24	100	1107
25	102	1077
26	103	1048
27	104	1019
28	106	992
29	107	968
30	108	944
31	110	922
32	111	901
33	112	883
34	115	873
35	116	857
36	118	841
37	119	825
38	121	810
39	122	796
40	123	781
41	125	767
42	126	757
43	129	751
44	132	751
45	134	744
46	137	737
47	141	741
48	142	731
49	144	723
50	147	719
51	149	712
52	151	705
53	153	701
54	158	706
55	161	701
56	163	695
57	166	693
58	168	686
59	169	678
60	170	669
61	172	662
62	174	655
63	175	647
64	177	641
65	180	638
66	182	634
67	184	627
68	185	620
69	186	613
70	188	606
71	189	599
72	190	593
73	192	587
74	195	585
75	197	581
76	198	575
77	200	569
78	201	563
79	202	558
80	204	552
81	205	547
82	207	542
83	208	536
84	211	534
85	212	529
86	214	524
87	215	519
88	217	514
89	218	509
90	219	505
91	221	501
92	223	496
93	224	491
94	226	488
95	228	485
96	229	480
97	231	476
98	232	472
99	234	468
100	235	464
101	237	460
102	238	455
103	239	451
104	240	447
105	242	443
106	244	441
107	245	437
108	247	433
109	248	429
110	249	425
111	250	421
112	252	417
113	253	413
114	254	410
115	256	406
116	257	402
117	259	400
118	261	397
119	262	394
120	263	390
121	265	386
122	266	383
123	267	379
124	268	376
125	270	373
126	271	369
127	272	366
128	273	363
129	276	361
130	277	358
131	278	354
132	280	351
133	281	348
134	282	345
135	284	342
136	285	339
137	286	336
138	288	333
139	289	330
140	290	328
141	293	326
142	294	323
143	295	320
144	297	317
145	298	314
146	299	312
147	301	309
148	303	307
149	304	304
150	306	302
151	309	300
152	310	298
153	312	296
154	313	293
155	315	291
156	317	288
157	318	286
158	320	284
159	321	281
160	323	279
161	325	277
162	326	274
163	327	271
164	329	269
165	330	266
166	331	264
167	332	261
168	334	259
169	335	256
170	337	254
171	338	251
172	340	249
173	341	247
174	343	245
175	344	242
176	345	240
177	347	237
178	348	235
179	349	233
180	351	230
181	352	228
182	353	226
183	356	224
184	357	222
185	359	220
186	360	217
187	361	215
188	363	213
189	364	210
190	365	208
191	366	206
192	368	204
193	369	201
194	371	200
195	373	198
196	374	195
197	375	193
198	377	191
199	378	189
200	379	187
201	380	184
202	382	182
203	383	180
204	384	178
205	386	176
206	388	174
207	390	172
208	391	170
209	392	168
210	393	166
211	395	164
212	396	161
213	397	159
214	399	157
215	400	155
216	401	153
217	403	151
218	405	149
219	406	147
220	408	145
221	409	143
222	410	141
223	411	139
224	413	137
225	414	135
226	415	133
227	416	131
228	418	129
229	420	127
230	422	126
231	423	124
232	424	122
233	426	120
234	427	118
235	428	116
236	429	114
237	431	112
238	432	110
239	433	108
240	434	106
241	437	104
242	438	102
243	439	100
244	441	99
245	442	97
246	443	95
247	444	93
248	446	91
249	447	89
250	448	87
251	450	85
252	452	84
253	453	82
254	455	80
255	456	78
256	457	76
257	459	74
258	460	72
259	461	71
260	462	69
261	464	67
262	465	65
263	466	63
264	468	61
265	470	60
266	471	58
267	472	56
268	474	54
269	475	52
270	476	51
271	478	49
272	479	47
273	480	45
274	481	43
275	483	42
276	485	40
277	486	38
278	487	36
279	489	34
280	490	33
281	491	31
282	493	29
283	494	27
284	495	26
285	496	24
286	498	22
287	499	20
288	501	19
289	502	17
290	504	15
291	505	13
292	507	12
293	508	10
294	509	8
295	510	6
296	512	5
297	513	3
298	514	1
299	515	0
