Model,Type,MAE,MSE,RMSE,R²,MAPE (%),Train Time (s),Inf Time (ms)
CatBoost,ML-Ensemble,2.1499739741122186,76.86336490421614,8.767175423374175,0.7903633312435208,54.20867668129621,0.5582640171051025,0.00039939648121640743
Extra Trees,ML-Ensemble,2.5722634944338583,77.00982667112198,8.775524296081802,0.7899638723211513,53.71784690983723,0.4036719799041748,0.008094038593170304
XGBoost,ML-Ensemble,3.239048719406128,81.58773803710938,9.032593095955855,0.7774780988693237,54.467247009277344,0.5626130104064941,0.0009680447513110018
Gradient Boosting,ML-Ensemble,2.423043718765849,84.83655132274441,9.210675942771216,0.7686173116379833,58.19513497332552,6.4367241859436035,0.0013879082155735707
LightGBM,ML-Ensemble,2.6706069731760027,86.36123996789073,9.293074839249424,0.7644588852035223,54.91557885620602,2.693124294281006,0.009322057575939997
Random Forest,ML-Ensemble,2.1949718083448793,87.25842012255124,9.341221554087626,0.7620119215670509,55.491258644601714,1.405731201171875,0.007440546694774425
RNN,DL,3.144368886947632,119.07268524169922,10.912043128658318,0.6752419471740723,54.50849533081055,8.412166118621826,0.11698840415641053
RF (Optuna),ML-Tuned,3.464524366960503,133.6633340760331,11.561286004421527,0.6354474446245982,61.12013722636893,0.5001270771026611,0.015527762960262675
SVR (Optuna),ML-Tuned,5.452349130328957,149.4658176045623,12.225621358628866,0.5923478482287308,49.63390907954529,11.119526863098145,0.2798518089398946
XGB (Optuna),ML-Tuned,4.784351348876953,152.4253387451172,12.346065719293623,0.5842760801315308,62.646820068359375,0.5556931495666504,0.0009120145707732829
SVR,ML-Other,3.7726721732977015,162.19144827995802,12.735440639410873,0.5576400413829119,54.44436843538828,2.1398439407348633,0.2579890792591205
KNN,ML-Other,3.355026154860104,183.75979369599096,13.555802952831343,0.49881466873313596,65.08035128688799,0.0004420280456542969,0.024643481412797576
BiLSTM,DL,4.4604315757751465,240.7058563232422,15.51469807386667,0.34350037574768066,77.16548156738281,16.442497968673706,0.26933424730460576
LSTM (Optuna),DL-Tuned,4.2248215675354,244.16810607910156,15.625879369785931,0.33405745029449463,78.66490936279297,7.950525999069214,0.14492844882076733
ANN,DL,7.500152111053467,254.34913635253906,15.948327070653495,0.30628979206085205,53.190826416015625,4.512434005737305,0.03856683612051257
CNN-1D,DL,8.511387825012207,277.16015625,16.648127710045955,0.24407517910003662,72.45885467529297,2.3787319660186768,0.04068190285785739
ANN (Optuna),DL-Tuned,4.281277656555176,286.08544921875,16.914060695727386,0.2197323441505432,81.88548278808594,2.328479051589966,0.03847487985271297
Decision Tree,ML-Ensemble,2.6379576842035974,333.1689785644836,18.252916987826456,0.09131697673795136,136.4155632501677,0.03842496871948242,0.00011053622404008515
CNN-LSTM,DL,6.871326923370361,344.9393005371094,18.572541574515572,0.059214770793914795,86.81480407714844,3.5666661262512207,0.08461464485621344
LSTM,DL,7.939847469329834,351.5668640136719,18.750116373336777,0.04113882780075073,81.25871276855469,8.328521013259888,0.14448739259391796
Lasso Regression,ML-Baseline,15.530089378356934,449.3594055175781,21.19809910151328,-0.22557997703552246,70.66962432861328,0.36196279525756836,0.00013064031731592466
Linear Regression,ML-Baseline,15.533903121948242,449.59326171875,21.203614355075175,-0.22621774673461914,70.67377471923828,0.01373910903930664,0.00016068759029858734
Ridge Regression,ML-Baseline,15.586362838745117,451.34771728515625,21.2449456879785,-0.23100292682647705,70.6517105102539,0.004943132400512695,9.340782688088613e-05
